table,row_count
schools,0
teachers,0
classes,0
students,0
questions,34605
game_sessions,0
game_answers,0
game_reward_claims,0
leaderboard_entries,0
modules,0
module_completions,0
competitions,0
teams,0
team_members,0
team_games,0
game_events,0
